Phenotype Name,Code Type,Code Description,Code
Angina,Read2,Transluminal balloon angioplasty of coronary artery NOS,7928z00
Angina,Read2,Transluminal balloon angioplasty of coronary artery OS,7928y00
Angina,Read2,Acute coronary insufficiency,G31y000
Angina,Read2,Acute coronary syndrome,G311500
Angina,Read2,Angina at rest,G311.14
Angina,Read2,Angina at rest,G311200
Angina,Read2,Angina control - worsening,662K300
Angina,Read2,Coronary thrombosis not resulting in myocardial infarction,G312.00
Angina,Read2,Crescendo angina,G311.11
Angina,Read2,Impending infarction,G311.12
Angina,Read2,Preinfarction syndrome,G311.00
Angina,Read2,Preinfarction syndrome NOS,G311z00
Angina,Read2,Refractory angina,G311300
Angina,Read2,Status anginosus,G33z000
Angina,Read2,Unstable angina,G311.13
Angina,Read2,Unstable angina,G311100
Angina,Read2,Worsening angina,G311400
Brain cancer,Read2,[M]Astroblastoma,BBbK.00
Brain cancer,Read2,[M]Astrocytic glioma,BBbB.11
Brain cancer,Read2,[M]Astrocytoma NOS,BBbB.00
Brain cancer,Read2,"[M]Astrocytoma, anaplastic type",BBbC.00
Brain cancer,Read2,[M]Cerebellar sarcoma NOS,BBbW.00
Brain cancer,Read2,[M]Desmoplastic medulloblastoma,BBbU.00
Brain cancer,Read2,[M]Fibrillary astrocytoma,BBbF.00
Brain cancer,Read2,[M]Gemistocytic astrocytoma,BBbE.00
Brain cancer,Read2,[M]Giant cell glioblastoma,BBbM.00
Brain cancer,Read2,[M]Glioblastoma multiforme,BBbL.11
Brain cancer,Read2,[M]Glioblastoma NOS,BBbL.00
Brain cancer,Read2,[M]Glioma NOS,BBbz.00
Brain cancer,Read2,[M]Glioneuroma,BBc6.11
Brain cancer,Read2,[M]Juvenile astrocytoma,BBbG.11
Brain cancer,Read2,[M]Medulloblastoma NOS,BBbT.00
Brain cancer,Read2,[M]Medulloepithelioma NOS,BBc2.00
Brain cancer,Read2,[M]Medullomyoblastoma,BBbV.00
Brain cancer,Read2,"[M]Meningioma, malignant",BBd2.00
Brain cancer,Read2,[M]Meningothelial sarcoma,BBd2.12
Brain cancer,Read2,[M]Neuroastrocytoma,BBc7.11
Brain cancer,Read2,[M]Olfactory neurogenic tumour,BBcA.00
Brain cancer,Read2,[M]Oligodendroblastoma,BBbS.00
Brain cancer,Read2,[M]Oligodendroglioma NOS,BBbQ.00
Brain cancer,Read2,"[M]Oligodendroglioma, anaplastic type",BBbR.00
Brain cancer,Read2,[M]Papillary meningioma,BBdA.00
Brain cancer,Read2,[M]Pilocytic astrocytoma,BBbG.00
Brain cancer,Read2,[M]Piloid astrocytoma,BBbG.12
Brain cancer,Read2,[M]Pleomorphic xanthoastrocytoma,BBbZ.00
Brain cancer,Read2,[M]Spongioblastoma NOS,BBbH.00
Brain cancer,Read2,[V]Personal history of malignant neoplasm of brain,ZV10y12
Brain cancer,Read2,"[X]Malig neopl, overlap lesion brain & other part of CNS",ByuA300
Brain cancer,Read2,"[X]Malignant neoplasm of meninges, unspecified",ByuA200
Brain cancer,Read2,"[X]Malignant neoplasm/central nervous system, unspecified",ByuA100
Brain cancer,Read2,[X]Malignant neoplasm/other and unspecified cranial nerves,ByuA000
Brain cancer,Read2,Cerebral metastasis,B583200
Brain cancer,Read2,Cerebral tumour - malignant,B51..11
Brain cancer,Read2,Malig neop pituitary gland or craniopharyngeal duct NOS,B542z00
Brain cancer,Read2,"Malig neopl, overlap lesion brain & other part of CNS",B52W.00
Brain cancer,Read2,Malignant neoplasm cerebrum (excluding lobes and ventricles),B510.00
Brain cancer,Read2,Malignant neoplasm of acoustic nerve,B520200
Brain cancer,Read2,Malignant neoplasm of aortic body,B545100
Brain cancer,Read2,Malignant neoplasm of aortic body and other paraganglia,B545.00
Brain cancer,Read2,Malignant neoplasm of aortic body or paraganglia NOS,B545z00
Brain cancer,Read2,Malignant neoplasm of basal ganglia,B510000
Brain cancer,Read2,Malignant neoplasm of brain,B51..00
Brain cancer,Read2,Malignant neoplasm of brain NOS,B51z.00
Brain cancer,Read2,Malignant neoplasm of brain stem,B517.00
Brain cancer,Read2,Malignant neoplasm of brain stem NOS,B517z00
Brain cancer,Read2,Malignant neoplasm of carotid body,B544.00
Brain cancer,Read2,Malignant neoplasm of cauda equina,B525.00
Brain cancer,Read2,Malignant neoplasm of cerebellum,B516.00
Brain cancer,Read2,Malignant neoplasm of cerebral cortex,B510100
Brain cancer,Read2,Malignant neoplasm of cerebral meninges,B521.00
Brain cancer,Read2,Malignant neoplasm of cerebral meninges NOS,B521z00
Brain cancer,Read2,Malignant neoplasm of cerebral peduncle,B517000
Brain cancer,Read2,Malignant neoplasm of cerebral pia mater,B521200
Brain cancer,Read2,Malignant neoplasm of cerebral ventricles,B515.00
Brain cancer,Read2,Malignant neoplasm of cerebrum NOS,B510z00
Brain cancer,Read2,Malignant neoplasm of choroid plexus,B515000
Brain cancer,Read2,Malignant neoplasm of coccygeal body,B545200
Brain cancer,Read2,Malignant neoplasm of corpus callosum,B51y000
Brain cancer,Read2,Malignant neoplasm of cranial nerves,B520.00
Brain cancer,Read2,Malignant neoplasm of cranial nerves NOS,B520z00
Brain cancer,Read2,Malignant neoplasm of craniopharyngeal duct,B542100
Brain cancer,Read2,Malignant neoplasm of frontal lobe,B511.00
Brain cancer,Read2,Malignant neoplasm of globus pallidus,B510300
Brain cancer,Read2,Malignant neoplasm of glomus jugulare,B545000
Brain cancer,Read2,Malignant neoplasm of hippocampus,B512000
Brain cancer,Read2,Malignant neoplasm of hypothalamus,B510400
Brain cancer,Read2,Malignant neoplasm of medulla oblongata,B517100
Brain cancer,Read2,"Malignant neoplasm of meninges, unspecified",B52X.00
Brain cancer,Read2,Malignant neoplasm of midbrain,B517200
Brain cancer,Read2,Malignant neoplasm of occipital lobe,B514.00
Brain cancer,Read2,Malignant neoplasm of olfactory bulb,B520000
Brain cancer,Read2,Malignant neoplasm of optic nerve,B520100
Brain cancer,Read2,Malignant neoplasm of other part of brain NOS,B51yz00
Brain cancer,Read2,Malignant neoplasm of other parts of brain,B51y.00
Brain cancer,Read2,Malignant neoplasm of parietal lobe,B513.00
Brain cancer,Read2,Malignant neoplasm of pineal gland,B543.00
Brain cancer,Read2,Malignant neoplasm of pituitary gland,B542000
Brain cancer,Read2,Malignant neoplasm of pons,B517300
Brain cancer,Read2,Malignant neoplasm of spinal cord,B522.00
Brain cancer,Read2,Malignant neoplasm of spinal meninges,B523.00
Brain cancer,Read2,Malignant neoplasm of spinal meninges NOS,B523z00
Brain cancer,Read2,Malignant neoplasm of temporal lobe,B512.00
Brain cancer,Read2,Malignant neoplasm of temporal lobe NOS,B512z00
Brain cancer,Read2,Malignant neoplasm of thalamus,B510500
Brain cancer,Read2,Malignant neoplasm pituitary gland and craniopharyngeal duct,B542.00
Brain cancer,Read2,"Malignant neoplasm, overlapping lesion of brain",B51y200
Brain cancer,Read2,Secondary malignant neoplasm of brain,B583000
Brain cancer,Read2,Secondary malignant neoplasm of brain and spinal cord,B583.00
Brain cancer,Read2,Secondary malignant neoplasm of brain or spinal cord NOS,B583z00
Brain cancer,Read2,Secondary malignant neoplasm of spinal cord,B583100
Dementia,Read2,[X] Presenile dementia NOS,Eu02z11
Dementia,Read2,[X] Presenile psychosis NOS,Eu02z12
Dementia,Read2,[X] Primary degenerative dementia NOS,Eu02z13
Dementia,Read2,[X] Senile dementia NOS,Eu02z14
Dementia,Read2,"[X] Senile dementia, depressed or paranoid type",Eu02z16
Dementia,Read2,[X] Senile psychosis NOS,Eu02z15
Dementia,Read2,[X] Unspecified dementia,Eu02z00
Dementia,Read2,[X]Alzheimer's dementia unspec,Eu00z11
Dementia,Read2,[X]Alzheimer's disease type 1,Eu00111
Dementia,Read2,[X]Alzheimer's disease type 2,Eu00013
Dementia,Read2,[X]Arteriosclerotic dementia,Eu01.11
Dementia,Read2,[X]Delirium superimposed on dementia,Eu04100
Dementia,Read2,"[X]Dementia in Alzheimer's dis, atypical or mixed type",Eu00200
Dementia,Read2,[X]Dementia in Alzheimer's disease,Eu00.00
Dementia,Read2,[X]Dementia in Alzheimer's disease with early onset,Eu00000
Dementia,Read2,[X]Dementia in Alzheimer's disease with late onset,Eu00100
Dementia,Read2,"[X]Dementia in Alzheimer's disease, unspecified",Eu00z00
Dementia,Read2,[X]Mixed cortical and subcortical vascular dementia,Eu01300
Dementia,Read2,[X]Multi-infarct dementia,Eu01100
Dementia,Read2,[X]Other Alzheimer's disease,Fyu3000
Dementia,Read2,[X]Other vascular dementia,Eu01y00
Dementia,Read2,[X]Predominantly cortical dementia,Eu01111
Dementia,Read2,"[X]Presenile dementia,Alzheimer's type",Eu00011
Dementia,Read2,"[X]Primary degen dementia of Alzheimer's type, senile onset",Eu00113
Dementia,Read2,"[X]Primary degen dementia, Alzheimer's type, presenile onset",Eu00012
Dementia,Read2,"[X]Senile dementia,Alzheimer's type",Eu00112
Dementia,Read2,[X]Subcortical vascular dementia,Eu01200
Dementia,Read2,[X]Vascular dementia,Eu01.00
Dementia,Read2,[X]Vascular dementia of acute onset,Eu01000
Dementia,Read2,"[X]Vascular dementia, unspecified",Eu01z00
Dementia,Read2,Alzheimer's disease,F110.00
Dementia,Read2,Alzheimer's disease with early onset,F110000
Dementia,Read2,Alzheimer's disease with late onset,F110100
Dementia,Read2,Arteriosclerotic dementia,E004.00
Dementia,Read2,Arteriosclerotic dementia NOS,E004z00
Dementia,Read2,Arteriosclerotic dementia with delirium,E004100
Dementia,Read2,Arteriosclerotic dementia with depression,E004300
Dementia,Read2,Arteriosclerotic dementia with paranoia,E004200
Dementia,Read2,Dementia annual review,6AB..00
Dementia,Read2,Dementia care plan,8CMZ.00
Dementia,Read2,Dementia in conditions EC,E041.00
Dementia,Read2,Dementia monitoring,66h..00
Dementia,Read2,Dementia monitoring administration,9Ou..00
Dementia,Read2,Dementia monitoring first letter,9Ou1.00
Dementia,Read2,Dementia monitoring second letter,9Ou2.00
Dementia,Read2,Dementia monitoring telephone invite,9Ou5.00
Dementia,Read2,Dementia monitoring third letter,9Ou3.00
Dementia,Read2,Dementia monitoring verbal invite,9Ou4.00
Dementia,Read2,Excepted from dementia quality indicators: Informed dissent,9hD1.00
Dementia,Read2,Excepted from dementia quality indicators: Patient unsuitabl,9hD0.00
Dementia,Read2,Exception reporting: dementia quality indicators,9hD..00
Dementia,Read2,H/O: dementia,1461
Dementia,Read2,Language disorder of dementia,ZS7C500
Dementia,Read2,Multi infarct dementia,E004.11
Dementia,Read2,Other senile and presenile organic psychoses,E00y.00
Dementia,Read2,Presbyophrenic psychosis,E00y.11
Dementia,Read2,Presenile dementia,E001.00
Dementia,Read2,Presenile dementia NOS,E001z00
Dementia,Read2,Presenile dementia with delirium,E001100
Dementia,Read2,Presenile dementia with depression,E001300
Dementia,Read2,Presenile dementia with paranoia,E001200
Dementia,Read2,Senile and presenile organic psychotic conditions,E00..00
Dementia,Read2,Senile dementia,E00..11
Dementia,Read2,Senile dementia with delirium,E003.00
Dementia,Read2,Senile dementia with depression,E002100
Dementia,Read2,Senile dementia with depressive or paranoid features,E002.00
Dementia,Read2,Senile dementia with depressive or paranoid features NOS,E002z00
Dementia,Read2,Senile dementia with paranoia,E002000
Dementia,Read2,Senile or presenile psychoses NOS,E00z.00
Dementia,Read2,Senile/presenile dementia,E00..12
Dementia,Read2,Uncomplicated arteriosclerotic dementia,E004000
Dementia,Read2,Uncomplicated presenile dementia,E001000
Dementia,Read2,Uncomplicated senile dementia,E000.00
Depression,Read2,[X] Reactive depression NOS,Eu32z14
Depression,Read2,[X]Atypical depression,Eu32y11
Depression,Read2,[X]Depression NOS,Eu32z11
Depression,Read2,[X]Depressive disorder NOS,Eu32z12
Depression,Read2,[X]Depressive episode,Eu32.00
Depression,Read2,"[X]Depressive episode, unspecified",Eu32z00
Depression,Read2,[X]Depressive neurosis,Eu34111
Depression,Read2,[X]Depressive personality disorder,Eu34112
Depression,Read2,[X]Dysthymia,Eu34100
Depression,Read2,[X]Endogenous depression with psychotic symptoms,Eu33311
Depression,Read2,[X]Endogenous depression without psychotic symptoms,Eu33211
Depression,Read2,"[X]Major depression, mild",Eu32500
Depression,Read2,"[X]Major depression, moderately severe",Eu32600
Depression,Read2,"[X]Major depression, recurrent without psychotic symptoms",Eu33212
Depression,Read2,"[X]Major depression, severe with psychotic symptoms",Eu32800
Depression,Read2,"[X]Major depression, severe without psychotic symptoms",Eu32700
Depression,Read2,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",Eu33213
Depression,Read2,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",Eu33312
Depression,Read2,[X]Mild anxiety depression,Eu41211
Depression,Read2,[X]Mild depression,Eu32400
Depression,Read2,[X]Mild depressive episode,Eu32000
Depression,Read2,[X]Mixed anxiety and depressive disorder,Eu41200
Depression,Read2,[X]Moderate depressive episode,Eu32100
Depression,Read2,[X]Monopolar depression NOS,Eu33z11
Depression,Read2,[X]Neurotic depression,Eu34113
Depression,Read2,[X]Other depressive episodes,Eu32y00
Depression,Read2,[X]Other recurrent depressive disorders,Eu33y00
Depression,Read2,[X]Persistant anxiety depression,Eu34114
Depression,Read2,[X]Post-schizophrenic depression,Eu20400
Depression,Read2,[X]Prolonged single episode of reactive depression,Eu32z13
Depression,Read2,[X]Recurr depress disorder cur epi severe without psyc sympt,Eu33200
Depression,Read2,"[X]Recurr major depr ep, severe with psych, psych in remiss",Eu32A00
Depression,Read2,[X]Recurr severe episodes/major depression+psychotic symptom,Eu33313
Depression,Read2,[X]Recurr severe episodes/psychogenic depressive psychosis,Eu33314
Depression,Read2,[X]Recurrent depress disorder cur epi severe with psyc symp,Eu33300
Depression,Read2,[X]Recurrent depressive disorder,Eu33.00
Depression,Read2,"[X]Recurrent depressive disorder, current episode mild",Eu33000
Depression,Read2,"[X]Recurrent depressive disorder, current episode moderate",Eu33100
Depression,Read2,"[X]Recurrent depressive disorder, currently in remission",Eu33400
Depression,Read2,"[X]Recurrent depressive disorder, unspecified",Eu33z00
Depression,Read2,[X]Recurrent episodes of depressive reaction,Eu33.11
Depression,Read2,[X]Recurrent episodes of psychogenic depression,Eu33.12
Depression,Read2,[X]Recurrent episodes of reactive depression,Eu33.13
Depression,Read2,[X]Recurrent severe episodes of psychotic depression,Eu33315
Depression,Read2,[X]Recurrent severe episodes/reactive depressive psychosis,Eu33316
Depression,Read2,[X]SAD - Seasonal affective disorder,Eu33.15
Depression,Read2,"[X]Schizoaffective disorder, depressive type",Eu25100
Depression,Read2,"[X]Schizoaffective psychosis, depressive type",Eu25111
Depression,Read2,"[X]Schizophreniform psychosis, depressive type",Eu25112
Depression,Read2,[X]Seasonal depressive disorder,Eu33.14
Depression,Read2,[X]Severe depressive episode with psychotic symptoms,Eu32300
Depression,Read2,[X]Severe depressive episode without psychotic symptoms,Eu32200
Depression,Read2,[X]Single episode agitated depressn w'out psychotic symptoms,Eu32211
Depression,Read2,[X]Single episode major depression w'out psychotic symptoms,Eu32212
Depression,Read2,[X]Single episode of depressive reaction,Eu32.11
Depression,Read2,[X]Single episode of major depression and psychotic symptoms,Eu32311
Depression,Read2,[X]Single episode of masked depression NOS,Eu32y12
Depression,Read2,[X]Single episode of psychogenic depression,Eu32.12
Depression,Read2,[X]Single episode of psychogenic depressive psychosis,Eu32312
Depression,Read2,[X]Single episode of psychotic depression,Eu32313
Depression,Read2,[X]Single episode of reactive depression,Eu32.13
Depression,Read2,[X]Single episode of reactive depressive psychosis,Eu32314
Depression,Read2,[X]Single episode vital depression w'out psychotic symptoms,Eu32213
Depression,Read2,"[X]Single major depr ep, severe with psych, psych in remiss",Eu32900
Depression,Read2,"[X]Vital depression, recurrent without psychotic symptoms",Eu33214
Depression,Read2,Agitated depression,E112.11
Depression,Read2,Agitated depression,E135.00
Depression,Read2,Anxiety with depression,E200300
Depression,Read2,Arteriosclerotic dementia with depression,E004300
Depression,Read2,Atypical depressive disorder,E11y200
Depression,Read2,Chronic depression,E2B1.00
Depression,Read2,Depression - enhanced service completed,9k40.00
Depression,Read2,Depression - enhanced services administration,9k4..00
Depression,Read2,Depression annual review,9H90.00
Depression,Read2,Depression interim review,9H92.00
Depression,Read2,Depression management programme,8BK0.00
Depression,Read2,Depression medication review,9H91.00
Depression,Read2,Depression monitoring administration,9Ov..00
Depression,Read2,Depression monitoring first letter,9Ov0.00
Depression,Read2,Depression monitoring second letter,9Ov1.00
Depression,Read2,Depression monitoring telephone invite,9Ov4.00
Depression,Read2,Depression monitoring third letter,9Ov2.00
Depression,Read2,Depression monitoring verbal invite,9Ov3.00
Depression,Read2,Depression resolved,212S.00
Depression,Read2,Depressive disorder NEC,E2B..00
Depression,Read2,Depressive psychoses,E11..12
Depression,Read2,Endogenous depression,E112.14
Depression,Read2,Endogenous depression - recurrent,E113.11
Depression,Read2,Endogenous depression first episode,E112.12
Depression,Read2,Endogenous depression first episode,E112.13
Depression,Read2,H/O: depression,1465
Depression,Read2,Masked depression,E11z200
Depression,Read2,On depression register,9HA0.00
Depression,Read2,On full dose long term treatment depression - enh serv admin,9kQ..00
Depression,Read2,Patient given advice about management of depression,8CAa.00
Depression,Read2,Presenile dementia with depression,E001300
Depression,Read2,Prolonged depressive reaction,E291.00
Depression,Read2,Psychotic reactive depression,E130.11
Depression,Read2,Reactive depressive psychosis,E130.00
Depression,Read2,Recurrent depression,E113700
Depression,Read2,Recurrent major depressive episode,E113.00
Depression,Read2,Recurrent major depressive episode NOS,E113z00
Depression,Read2,"Recurrent major depressive episodes, in full remission",E113600
Depression,Read2,"Recurrent major depressive episodes, mild",E113100
Depression,Read2,"Recurrent major depressive episodes, moderate",E113200
Depression,Read2,"Recurrent major depressive episodes, severe, no psychosis",E113300
Depression,Read2,"Recurrent major depressive episodes, severe, with psychosis",E113400
Depression,Read2,"Recurrent major depressive episodes, unspecified",E113000
Depression,Read2,"Recurrent major depressive episodes,partial/unspec remission",E113500
Depression,Read2,Referral for guided self-help for depression,8HHq.00
Depression,Read2,Seasonal affective disorder,E118.00
Depression,Read2,Senile dementia with depression,E002100
Depression,Read2,Single major depressive episode,E112.00
Depression,Read2,Single major depressive episode NOS,E112z00
Depression,Read2,"Single major depressive episode, in full remission",E112600
Depression,Read2,"Single major depressive episode, mild",E112100
Depression,Read2,"Single major depressive episode, moderate",E112200
Depression,Read2,"Single major depressive episode, partial or unspec remission",E112500
Depression,Read2,"Single major depressive episode, severe, with psychosis",E112400
Depression,Read2,"Single major depressive episode, severe, without psychosis",E112300
Depression,Read2,"Single major depressive episode, unspecified",E112000
Diabetes,Read2,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,C109K00
Diabetes,Read2,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,C10FK00
Diabetes,Read2,Insulin treated Type 2 diabetes mellitus,C109J00
Diabetes,Read2,Insulin treated Type 2 diabetes mellitus,C10FJ00
Diabetes,Read2,Insulin treated Type II diabetes mellitus,C109J12
Diabetes,Read2,Insulin treated Type II diabetes mellitus,C10FJ11
Diabetes,Read2,Type 1 diabetes mellitus,C108.12
Diabetes,Read2,Type 1 diabetes mellitus,C10E.00
Diabetes,Read2,Type 1 diabetes mellitus - poor control,C108812
Diabetes,Read2,Type 1 diabetes mellitus - poor control,C10E800
Diabetes,Read2,Type 1 diabetes mellitus maturity onset,C108912
Diabetes,Read2,Type 1 diabetes mellitus maturity onset,C10E900
Diabetes,Read2,Type 1 diabetes mellitus with arthropathy,C10EH00
Diabetes,Read2,Type 1 diabetes mellitus with diabetic cataract,C10EF00
Diabetes,Read2,Type 1 diabetes mellitus with exudative maculopathy,C10EP00
Diabetes,Read2,Type 1 diabetes mellitus with gangrene,C10E600
Diabetes,Read2,Type 1 diabetes mellitus with gastroparesis,C10EQ00
Diabetes,Read2,Type 1 diabetes mellitus with hypoglycaemic coma,C108E12
Diabetes,Read2,Type 1 diabetes mellitus with hypoglycaemic coma,C10EE00
Diabetes,Read2,Type 1 diabetes mellitus with ketoacidosis,C10EM00
Diabetes,Read2,Type 1 diabetes mellitus with ketoacidotic coma,C10EN00
Diabetes,Read2,Type 1 diabetes mellitus with mononeuropathy,C10EB00
Diabetes,Read2,Type 1 diabetes mellitus with multiple complications,C10E300
Diabetes,Read2,Type 1 diabetes mellitus with nephropathy,C10ED00
Diabetes,Read2,Type 1 diabetes mellitus with neurological complications,C108212
Diabetes,Read2,Type 1 diabetes mellitus with neurological complications,C10E200
Diabetes,Read2,Type 1 diabetes mellitus with neuropathic arthropathy,C108J12
Diabetes,Read2,Type 1 diabetes mellitus with neuropathic arthropathy,C10EJ00
Diabetes,Read2,Type 1 diabetes mellitus with ophthalmic complications,C10E100
Diabetes,Read2,Type 1 diabetes mellitus with peripheral angiopathy,C10EG00
Diabetes,Read2,Type 1 diabetes mellitus with persistent microalbuminuria,C10EL00
Diabetes,Read2,Type 1 diabetes mellitus with persistent proteinuria,C10EK00
Diabetes,Read2,Type 1 diabetes mellitus with polyneuropathy,C10EC00
Diabetes,Read2,Type 1 diabetes mellitus with renal complications,C108012
Diabetes,Read2,Type 1 diabetes mellitus with renal complications,C10E000
